date id ninfected nrecovered ndeceased
31 22 29 106 4
31 24 22 79 0
31 26 154 298 2
32 29 0 2 0
32 12 17 299 7
32 11 82 1414 24
32 10 23 268 5
32 0 219 31568 289
32 25 0 3 0
32 6 38 162 3
32 8 54 789 7
32 14 194 1738 16
32 30 3 1 0
32 9 45 854 6
32 2 93 4178 41
32 21 63 445 8
32 28 9 17 0
32 5 59 1581 17
32 23 16 83 0
32 27 0 1 0
32 7 212 3053 42
32 4 116 4398 45
32 1 93 1183 13
32 13 122 984 9
32 16 16 199 2
32 17 4 39 1
32 18 13 105 0
32 3 110 3535 43
32 19 27 466 6
32 20 750 3574 64
32 15 1 15 0
32 22 46 122 5
32 24 32 91 0
32 26 182 401 2
33 29 1 2 0
33 12 11 309 7
33 11 75 1465 25
33 10 24 278 5
33 0 208 31705 290
33 25 0 3 0
33 6 39 184 4
33 8 52 825 7
33 14 204 1868 20
33 30 2 2 0
33 9 46 881 7
33 2 87 4238 42
33 21 57 481 8
33 28 2 25 0
33 5 48 1618 17
33 23 27 91 0
33 27 5 1 0
33 7 240 3189 42
33 4 102 4479 45
33 1 87 1231 14
33 13 139 1064 9
33 16 16 207 2
33 17 4 42 1
33 18 12 110 0
33 3 82 3606 44
33 19 40 482 6
33 20 729 4077 76
33 15 1 16 0
33 22 44 147 7
33 24 36 107 0
33 26 216 519 3
34 29 0 3 0
34 12 10 317 7
34 11 85 1512 26
34 10 16 291 6
34 0 201 31839 291
34 25 0 3 0
34 6 32 212 4
34 8 57 857 8
34 14 183 2000 22
34 30 0 4 0
34 9 24 915 9
34 2 91 4293 45
34 21 76 510 8
34 28 4 26 0
34 5 45 1647 18
34 23 29 107 0
34 27 5 4 0
34 7 247 3342 43
34 4 115 4549 46
34 1 71 1280 16
34 13 129 1155 13
34 16 15 216 2
34 17 8 43 1
34 18 16 115 1
34 3 79 3654 45
34 19 26 508 6
34 20 729 4556 81
34 15 1 17 0
34 22 40 171 7
34 24 27 129 0
34 26 244 665 3
35 29 1 3 0
35 12 5 325 7
35 11 81 1569 26
35 10 29 298 6
35 0 193 31963 291
35 25 0 3 0
35 6 26 233 4
35 8 67 891 8
35 14 191 2133 22
35 30 1 4 0
35 9 25 927 11
35 2 97 4347 45
35 21 66 555 9
35 28 5 28 0
35 5 31 1680 18
35 23 15 127 0
35 27 4 9 0
35 7 226 3501 43
35 4 111 4625 46
35 1 61 1322 16
35 13 120 1237 15
35 16 15 223 2
35 17 4 49 1
35 18 23 123 2
35 3 94 3701 45
