date nvariants nhealthy ninfected nrecovered ndeceased
863 241 289 188 227836 523
864 241 268 209 227978 523
865 241 275 200 228136 525
866 241 260 215 228277 525
867 241 267 207 228434 526
868 242 279 195 228588 526
869 242 278 196 228738 526
870 242 279 195 228886 526
871 242 277 196 229027 527
872 242 278 195 229177 527
873 242 280 193 229324 527
874 242 278 195 229472 527
875 242 277 196 229621 527
876 242 290 182 229769 528
877 242 282 190 229904 528
878 242 272 200 230044 528
879 242 296 176 230207 528
880 243 282 190 230339 528
881 243 261 211 230471 528
882 243 286 184 230633 530
883 243 268 202 230768 530
884 243 259 211 230913 530
885 243 263 206 231064 531
886 243 287 182 231224 531
887 243 276 193 231359 531
888 243 277 192 231504 531
889 243 270 199 231645 531
890 243 306 163 231805 531
891 243 279 190 231924 531
892 243 298 170 232077 532
893 243 271 197 232202 532
894 243 287 181 232356 532
895 243 281 187 232500 532
896 244 268 200 232632 532
897 244 298 170 232797 532
898 244 290 176 232931 534
899 244 267 199 233057 534
900 244 265 200 233199 535
901 245 284 180 233352 536
902 246 273 191 233490 536
903 246 285 179 233645 536
904 246 268 196 233775 536
905 246 274 190 233925 536
906 246 261 202 234062 537
907 246 265 198 234212 537
908 246 290 173 234371 537
909 247 283 180 234510 537
910 247 269 194 234645 537
911 247 267 196 234786 537
912 247 265 198 234932 537
913 247 273 190 235084 537
914 248 263 200 235227 537
915 248 263 200 235370 537
916 249 284 179 235527 537
917 249 283 180 235665 537
918 250 278 185 235802 537
919 251 283 180 235946 537
920 251 299 164 236095 537
921 251 281 182 236229 537
922 251 279 184 236369 537
923 251 294 169 236515 537
924 251 285 178 236649 537
925 251 282 181 236790 537
926 251 286 177 236937 537
927 251 277 186 237070 537
928 251 283 180 237213 537
929 251 270 193 237341 537
930 252 294 169 237489 537
931 252 284 179 237614 537
932 252 259 204 237740 537
933 253 273 190 237888 537
934 253 265 198 238027 537
935 254 281 182 238181 537
936 254 302 161 238334 537
937 254 269 194 238455 537
938 255 291 171 238615 538
939 255 262 200 238742 538
940 255 272 190 238887 538
941 255 271 191 239027 538
942 255 265 197 239164 538
943 255 266 196 239314 538
944 255 263 198 239457 539
945 255 265 196 239601 539
946 255 280 181 239752 539
947 255 279 182 239891 539
948 255 281 180 240029 539
949 255 273 187 240163 540
950 255 279 181 240307 540
951 255 274 185 240442 541
952 255 277 181 240584 542
953 255 285 173 240732 542
954 256 267 190 240861 543
955 256 269 187 241004 544
956 256 259 197 241140 544
957 256 253 203 241281 544
958 256 278 178 241439 544
959 256 290 166 241585 544
960 256 262 194 241706 544
961 256 273 183 241858 544
962 256 278 177 241998 545
963 256 264 191 242126 545
964 256 278 177 242278 545
965 256 265 190 242409 545
966 256 261 193 242545 546
967 256 281 173 242694 546
968 256 277 177 242826 546
969 257 275 179 242957 546
970 258 286 168 243097 546
971 258 281 172 243225 547
972 258 276 177 243358 547
973 258 309 144 243506 547
974 258 302 151 243625 547
975 258 271 182 243741 547
976 258 277 175 243883 548
977 259 250 202 244005 548
978 259 300 152 244172 548
979 259 270 182 244286 548
980 259 278 174 244425 548
981 260 260 192 244557 548
982 260 260 191 244697 549
983 260 265 186 244838 549
984 262 275 176 244988 549
985 263 270 181 245121 549
986 265 268 182 245255 550
987 265 290 158 245399 552
988 266 268 180 245516 552
989 266 277 170 245655 553
990 266 288 159 245788 553
991 267 280 167 245912 553
992 267 253 193 246027 554
993 267 259 187 246167 554
994 267 265 181 246303 554
995 267 282 164 246443 554
996 267 269 177 246561 554
