virus_id virus source source_exposure_date rt
0 "covid 19" 2767 21 1
0 "covid 19" 5380 29 0
0 "covid 19" 2766 21 1
0 "covid 19" 2765 21 1
0 "covid 19" 2763 21 1
0 "covid 19" 2762 21 1
0 "covid 19" 2654 21 10
0 "covid 19" 2653 21 0
0 "covid 19" 2650 21 0
0 "covid 19" 2649 21 0
0 "covid 19" 2646 21 0
0 "covid 19" 2115 21 1
0 "covid 19" 2114 21 1
0 "covid 19" 2110 21 1
0 "covid 19" 2108 21 1
0 "covid 19" 1943 21 10
0 "covid 19" 1942 21 0
0 "covid 19" 8055 26 0
0 "covid 19" 1941 21 0
0 "covid 19" 8447 42 1
0 "covid 19" 1939 21 0
0 "covid 19" 1936 21 0
0 "covid 19" 1935 21 0
0 "covid 19" 566 21 1
0 "covid 19" 565 21 1
0 "covid 19" 8635 24 1
0 "covid 19" 564 21 1
0 "covid 19" 563 21 1
0 "covid 19" 1977 25 0
0 "covid 19" 561 21 1
0 "covid 19" 488 21 10
0 "covid 19" 487 21 0
0 "covid 19" 9397 28 0
0 "covid 19" 486 21 0
0 "covid 19" 485 21 0
0 "covid 19" 482 21 0
0 "covid 19" 481 21 0
0 "covid 19" 480 21 0
0 "covid 19" 8656 22 1
0 "covid 19" 76 21 1
0 "covid 19" 8658 21 1
0 "covid 19" 74 21 1
0 "covid 19" 8657 21 1
0 "covid 19" 73 21 1
0 "covid 19" 72 21 0
0 "covid 19" 71 21 0
0 "covid 19" 70 21 0
0 "covid 19" 68 21 0
0 "covid 19" 62 21 0
0 "covid 19" 61 21 0
0 "covid 19" 56 21 0
0 "covid 19" 55 21 0
0 "covid 19" 9655 20 1
0 "covid 19" 9326 20 10
0 "covid 19" 8419 45 1
0 "covid 19" 9325 20 0
0 "covid 19" 9324 20 0
0 "covid 19" 9323 20 0
0 "covid 19" 9322 20 0
0 "covid 19" 9321 20 0
0 "covid 19" 9320 20 0
0 "covid 19" 9319 20 0
0 "covid 19" 9318 20 0
0 "covid 19" 9317 20 0
0 "covid 19" 8676 20 1
0 "covid 19" 8675 20 1
0 "covid 19" 8673 20 1
0 "covid 19" 5354 26 0
0 "covid 19" 8668 20 1
0 "covid 19" 7995 20 0
0 "covid 19" 7994 20 0
0 "covid 19" 7993 20 0
0 "covid 19" 8187 40 0
0 "covid 19" 7992 20 0
0 "covid 19" 7990 20 0
0 "covid 19" 7988 20 0
0 "covid 19" 7987 20 0
0 "covid 19" 5470 20 1
0 "covid 19" 5468 20 1
0 "covid 19" 5467 20 1
0 "covid 19" 5466 20 1
0 "covid 19" 9438 32 0
0 "covid 19" 5465 20 1
0 "covid 19" 5461 20 1
0 "covid 19" 5296 20 0
0 "covid 19" 5292 20 0
0 "covid 19" 5291 20 0
0 "covid 19" 2780 20 1
0 "covid 19" 2777 20 1
0 "covid 19" 2775 20 1
0 "covid 19" 2774 20 1
0 "covid 19" 2773 20 1
0 "covid 19" 2771 20 1
0 "covid 19" 2643 20 0
0 "covid 19" 2642 20 0
0 "covid 19" 2641 20 0
0 "covid 19" 2635 20 0
0 "covid 19" 2125 20 1
0 "covid 19" 2124 20 1
0 "covid 19" 2122 20 1
0 "covid 19" 2121 20 1
0 "covid 19" 2119 20 1
0 "covid 19" 2118 20 1
0 "covid 19" 1933 20 10
0 "covid 19" 1930 20 0
0 "covid 19" 1929 20 0
0 "covid 19" 1927 20 0
0 "covid 19" 1926 20 0
0 "covid 19" 1925 20 0
0 "covid 19" 1924 20 0
0 "covid 19" 576 20 1
0 "covid 19" 573 20 1
0 "covid 19" 571 20 1
0 "covid 19" 8344 53 1
0 "covid 19" 568 20 1
0 "covid 19" 473 20 0
0 "covid 19" 5463 20 1
0 "covid 19" 87 20 1
0 "covid 19" 5462 20 1
0 "covid 19" 86 20 1
0 "covid 19" 85 20 1
0 "covid 19" 81 20 1
0 "covid 19" 79 20 1
0 "covid 19" 78 20 1
0 "covid 19" 51 20 0
0 "covid 19" 49 20 0
0 "covid 19" 47 20 0
0 "covid 19" 8194 40 0
0 "covid 19" 44 20 0
0 "covid 19" 9671 19 1
0 "covid 19" 9670 19 1
0 "covid 19" 9666 19 1
0 "covid 19" 9665 19 1
0 "covid 19" 9663 19 1
0 "covid 19" 9662 19 1
0 "covid 19" 5424 24 1
0 "covid 19" 9316 19 10
0 "covid 19" 9315 19 0
0 "covid 19" 9314 19 0
0 "covid 19" 9312 19 0
0 "covid 19" 9310 19 0
0 "covid 19" 9309 19 0
0 "covid 19" 8686 19 1
0 "covid 19" 8681 19 1
0 "covid 19" 8680 19 1
0 "covid 19" 7985 19 0
0 "covid 19" 7983 19 0
0 "covid 19" 7982 19 0
0 "covid 19" 7981 19 0
0 "covid 19" 7978 19 0
0 "covid 19" 5479 19 1
0 "covid 19" 5478 19 1
0 "covid 19" 5477 19 1
0 "covid 19" 5476 19 1
0 "covid 19" 5474 19 1
0 "covid 19" 5286 19 0
0 "covid 19" 5284 19 0
0 "covid 19" 5282 19 0
0 "covid 19" 5280 19 0
0 "covid 19" 5279 19 0
0 "covid 19" 2790 19 1
0 "covid 19" 2789 19 1
0 "covid 19" 9538 32 1
0 "covid 19" 2788 19 1
0 "covid 19" 2785 19 1
0 "covid 19" 2782 19 1
0 "covid 19" 9640 22 1
0 "covid 19" 2633 19 0
0 "covid 19" 2630 19 0
0 "covid 19" 2627 19 0
0 "covid 19" 8424 45 1
0 "covid 19" 2626 19 0
0 "covid 19" 5344 25 0
0 "covid 19" 2625 19 0
0 "covid 19" 2135 19 1
0 "covid 19" 2133 19 1
0 "covid 19" 2132 19 1
0 "covid 19" 2131 19 1
0 "covid 19" 2128 19 1
0 "covid 19" 1922 19 0
0 "covid 19" 1921 19 0
0 "covid 19" 1920 19 0
0 "covid 19" 1917 19 0
0 "covid 19" 1916 19 0
0 "covid 19" 1914 19 0
0 "covid 19" 585 19 1
0 "covid 19" 578 19 1
0 "covid 19" 466 19 0
0 "covid 19" 465 19 0
0 "covid 19" 464 19 0
0 "covid 19" 462 19 0
0 "covid 19" 461 19 0
0 "covid 19" 460 19 0
0 "covid 19" 459 19 0
0 "covid 19" 5471 19 1
0 "covid 19" 95 19 1
0 "covid 19" 8573 30 1
0 "covid 19" 91 19 1
0 "covid 19" 89 19 1
0 "covid 19" 88 19 1
0 "covid 19" 37 19 0
0 "covid 19" 9337 22 0
0 "covid 19" 36 19 0
0 "covid 19" 8383 49 1
0 "covid 19" 35 19 0
0 "covid 19" 586 19 1
0 "covid 19" 34 19 0
0 "covid 19" 33 19 0
0 "covid 19" 9678 18 1
0 "covid 19" 9306 18 10
0 "covid 19" 9305 18 0
0 "covid 19" 9304 18 0
0 "covid 19" 9301 18 0
0 "covid 19" 9299 18 0
