date id state n
88 0 Removed 298
89 1 Susceptible 0
89 1 Exposed 0
89 1 Recovered 9399
89 1 Removed 601
89 0 Susceptible 0
89 0 Exposed 0
89 0 Recovered 4702
89 0 Removed 298
90 1 Susceptible 0
90 1 Exposed 0
90 1 Recovered 9399
90 1 Removed 601
90 0 Susceptible 0
90 0 Exposed 0
90 0 Recovered 4702
90 0 Removed 298
91 1 Susceptible 0
91 1 Exposed 0
91 1 Recovered 9399
91 1 Removed 601
91 0 Susceptible 0
91 0 Exposed 0
91 0 Recovered 4702
91 0 Removed 298
92 1 Susceptible 0
92 1 Exposed 0
92 1 Recovered 9399
92 1 Removed 601
92 0 Susceptible 0
92 0 Exposed 0
92 0 Recovered 4702
92 0 Removed 298
93 1 Susceptible 0
93 1 Exposed 0
93 1 Recovered 9399
93 1 Removed 601
93 0 Susceptible 0
93 0 Exposed 0
93 0 Recovered 4702
93 0 Removed 298
94 1 Susceptible 0
94 1 Exposed 0
94 1 Recovered 9399
94 1 Removed 601
94 0 Susceptible 0
94 0 Exposed 0
94 0 Recovered 4702
94 0 Removed 298
95 1 Susceptible 0
95 1 Exposed 0
95 1 Recovered 9399
95 1 Removed 601
95 0 Susceptible 0
95 0 Exposed 0
95 0 Recovered 4702
95 0 Removed 298
96 1 Susceptible 0
96 1 Exposed 0
96 1 Recovered 9399
96 1 Removed 601
96 0 Susceptible 0
96 0 Exposed 0
96 0 Recovered 4702
96 0 Removed 298
97 1 Susceptible 0
97 1 Exposed 0
97 1 Recovered 9399
97 1 Removed 601
97 0 Susceptible 0
97 0 Exposed 0
97 0 Recovered 4702
97 0 Removed 298
98 1 Susceptible 0
98 1 Exposed 0
98 1 Recovered 9399
98 1 Removed 601
98 0 Susceptible 0
98 0 Exposed 0
98 0 Recovered 4702
98 0 Removed 298
99 1 Susceptible 0
99 1 Exposed 0
99 1 Recovered 9399
99 1 Removed 601
99 0 Susceptible 0
99 0 Exposed 0
99 0 Recovered 4702
99 0 Removed 298
100 1 Susceptible 0
100 1 Exposed 0
100 1 Recovered 9399
100 1 Removed 601
100 0 Susceptible 0
100 0 Exposed 0
100 0 Recovered 4702
100 0 Removed 298
