virus source source_exposure_date gentime
0 8000 21 -1
0 8001 21 -1
0 8002 21 -1
0 8003 21 -1
0 8004 21 -1
0 8005 21 -1
0 8006 21 1
0 8657 21 1
0 8658 21 1
0 8659 21 1
0 8660 21 1
0 8661 21 1
0 8662 21 1
0 8663 21 1
0 8664 21 1
0 8665 21 1
0 8666 21 1
0 9327 21 -1
0 9328 21 -1
0 9329 21 -1
0 9330 21 -1
0 9331 21 -1
0 9332 21 -1
0 9333 21 -1
0 9334 21 -1
0 9335 21 -1
0 9336 21 1
0 9642 21 1
0 9643 21 1
0 9644 21 1
0 9645 21 1
0 9646 21 1
0 9647 21 1
0 9648 21 1
0 9649 21 1
0 9650 21 1
0 9651 21 1
0 63 22 -1
0 64 22 -1
0 65 22 -1
0 66 22 -1
0 67 22 -1
0 489 22 -1
0 490 22 -1
0 491 22 -1
0 492 22 -1
0 493 22 -1
0 494 22 -1
0 495 22 -1
0 496 22 -1
0 497 22 -1
0 498 22 1
0 548 22 1
0 549 22 1
0 550 22 1
0 551 22 1
0 552 22 1
0 553 22 1
0 554 22 1
0 555 22 1
0 556 22 1
0 557 22 1
0 1944 22 -1
0 1945 22 -1
0 1946 22 -1
0 1947 22 -1
0 1948 22 -1
0 1949 22 -1
0 1950 22 -1
0 1951 22 -1
0 1952 22 -1
0 1953 22 1
0 2097 22 1
0 2098 22 1
0 2099 22 1
0 2100 22 1
0 2101 22 1
0 2102 22 1
0 2103 22 1
0 2104 22 1
0 2105 22 1
0 2106 22 1
0 2655 22 -1
0 2656 22 -1
0 2657 22 -1
0 2658 22 -1
0 2659 22 -1
0 2660 22 -1
0 2661 22 -1
0 2662 22 -1
0 2663 22 -1
0 2664 22 1
0 2751 22 1
0 2752 22 1
0 2753 22 1
0 2754 22 1
0 2755 22 1
0 2756 22 1
0 2757 22 1
0 2758 22 1
0 2759 22 1
0 2760 22 1
0 5309 22 -1
0 5310 22 -1
0 5311 22 -1
0 5312 22 -1
0 5313 22 -1
0 5314 22 -1
0 5315 22 -1
0 5316 22 -1
0 5317 22 -1
0 5318 22 1
0 5441 22 1
0 5442 22 1
0 5443 22 1
0 5444 22 1
0 5445 22 1
0 5446 22 1
0 5447 22 1
0 5448 22 1
0 5449 22 1
0 5450 22 1
0 8007 22 -1
